"","image","abc","YA_average_ratings","YA_bins","RGB","MSE","OA_average_ratings","OA_bins","MSE_3bins","MSE_8bins","RGB_3bins","RGB_8bins"
"1",1,"ab",4,"medium","0.090959289","1690.286683",5,"medium","high","7","low","2"
"2",1,"ac",2,"low","0.117276131","1024.572597",5.5,"medium","medium","5","low","2"
"3",1,"bc",5,"medium","0.092696773","226.8704703",7,"high","low","2","low","2"
"4",2,"ab",3,"low","0.715386885","1073.176325",3,"low","medium","6","high","7"
"5",2,"ac",3,"low","0.59228193","1965.135214",6.5,"high","high","7","high","6"
"6",2,"bc",5,"medium","0.349426696","1533.146573",6,"medium","high","6","medium","4"
"7",3,"ab",8,"high","1.719072144","1630.686066",7.5,"high","high","7","high","8"
"8",3,"ac",5.5,"medium","1.04411031","909.5910453",7.5,"high","medium","5","high","8"
"9",3,"bc",7.5,"high","0.310962384","749.3855922",8,"high","medium","4","medium","4"
"10",4,"ab",8,"high","1.892571251","3295.225739",8,"high","high","8","high","8"
"11",4,"ac",8,"high","1.821875762","1855.357177",6.5,"high","high","7","high","8"
"12",4,"bc",8,"high","0.65722098","1421.122413",9,"high","high","6","high","6"
"13",5,"ab",0.5,"low","0.004262563","156.0403828",2,"low","low","2","low","1"
"14",5,"ac",2.5,"low","0.014189596","328.9880453",6.5,"high","low","3","low","1"
"15",5,"bc",1.5,"low","0.006959827","172.3636",6,"medium","low","2","low","1"
"16",6,"ab",5.5,"medium","2.843425342","872.8122406",4.5,"medium","medium","5","high","8"
"17",6,"ac",1.5,"low","1.8326901","511.3139422",6,"medium","medium","4","high","8"
"18",6,"bc",7.5,"high","1.173912818","1083.089242",7,"high","medium","6","high","8"
"19",7,"ab",1,"low","0.047296065","430.6838594",2,"low","low","3","low","1"
"20",7,"ac",2,"low","0.043523913","206.8351938",2.5,"low","low","2","low","1"
"21",7,"bc",1,"low","0.016763105","153.9534656",8,"high","low","2","low","1"
"22",8,"ab",5.5,"medium","0.07295574","350.2777984",3.5,"low","low","3","low","2"
"23",8,"ac",4.5,"medium","0.06991786","172.1668859",5.5,"medium","low","2","low","2"
"24",8,"bc",3,"low","0.050209199","154.2695781",3,"low","low","2","low","1"
"25",9,"ab",5.5,"medium","0.155694003","625.8108703",4,"medium","medium","4","low","3"
"26",9,"ac",4,"medium","0.199083412","439.2776141",6.5,"high","medium","3","medium","3"
"27",9,"bc",5.5,"medium","0.18301269","195.6514406",6.5,"medium","low","2","low","3"
"28",10,"ab",4.5,"medium","0.390044692","423.1961625",3.5,"low","low","3","medium","5"
"29",10,"ac",2.5,"low","0.405386851","325.5916359",5,"medium","low","3","medium","5"
"30",10,"bc",6,"medium","0.527267831","135.3270672",6.5,"medium","low","1","medium","6"
"31",11,"ab",8,"high","0.288401928","1574.194033",6,"medium","high","6","medium","4"
"32",11,"ac",3.5,"medium","0.313095074","1554.257209",2,"low","high","6","medium","4"
"33",11,"bc",6,"medium","0.062479234","515.2485516",7,"high","medium","4","low","1"
"34",12,"ab",8,"high","0.798007694","99.57922344",7,"high","low","1","high","7"
"35",12,"ac",6,"medium","0.660236514","341.8730172",8,"high","low","3","high","7"
"36",12,"bc",8.5,"high","0.322058248","414.3699",8,"high","low","3","medium","4"
"37",13,"ab",4,"medium","0.086158175","676.4282141",3.5,"low","medium","4","low","2"
"38",13,"ac",0.5,"low","0.085065912","347.6201844",4,"medium","low","3","low","2"
"39",13,"bc",6.5,"high","0.06139635","356.6179641",6,"medium","low","3","low","1"
"40",14,"ab",8.5,"high","0.617443586","95.01240469",8,"high","low","1","high","6"
"41",14,"ac",6,"medium","0.431207288","422.5450281",8.5,"high","low","3","medium","5"
"42",14,"bc",9,"high","0.135821262","516.4013422",8.5,"high","medium","4","low","3"
"43",15,"ab",4,"medium","0.10519338","1708.473478",3.5,"low","high","7","low","2"
"44",15,"ac",3,"low","0.082314944","971.6000984",8,"high","medium","5","low","2"
"45",15,"bc",6,"medium","0.072665041","532.5260891",6,"medium","medium","4","low","2"
"46",16,"ab",4.5,"medium","0.128525733","24.568075",4,"medium","low","1","low","2"
"47",16,"ac",3,"low","0.100868124","206.80325",7.5,"high","low","2","low","2"
"48",16,"bc",6.5,"high","0.123364497","324.1188344",7,"high","low","3","low","2"
"49",17,"ab",5.5,"medium","0.343714961","3060.562122",5,"medium","high","8","medium","4"
"50",17,"ac",8.5,"high","0.150385242","1956.906705",8.5,"high","high","7","low","3"
"51",17,"bc",6,"medium","0.452163845","4770.811861",6.5,"medium","high","8","medium","5"
"52",18,"ab",5,"medium","0.012132728","442.5993516",5,"medium","medium","3","low","1"
"53",18,"ac",7.5,"high","0.042247888","2131.246898",7.5,"high","high","7","low","1"
"54",18,"bc",5.5,"medium","0.060076487","3151.927619",6.5,"medium","high","8","low","1"
"55",19,"ab",0.5,"low","0.051218026","98.77267813",2,"low","low","1","low","1"
"56",19,"ac",1,"low","0.050152463","142.0409625",2.5,"low","low","1","low","1"
"57",19,"bc",2,"low","0.022240809","36.82275",5.5,"medium","low","1","low","1"
"58",20,"ab",3,"low","0.172610442","502.3112828",3,"low","medium","4","low","3"
"59",20,"ac",7,"high","0.312777451","970.3437922",9,"high","medium","5","medium","4"
"60",20,"bc",4,"medium","0.11808845","462.97425",6,"medium","medium","3","low","2"
"61",21,"ab",4,"medium","0.270367167","764.4803047",5,"medium","medium","5","medium","4"
"62",21,"ac",4,"medium","0.355969103","830.4222406",5,"medium","medium","5","medium","4"
"63",21,"bc",5.5,"medium","0.180016542","776.0540609",8.5,"high","medium","5","low","3"
"64",22,"ab",8,"high","0.099305725","121.1339531",7,"high","low","1","low","2"
"65",22,"ac",6,"medium","0.159885084","269.4923031",8,"high","low","2","low","3"
"66",22,"bc",5.5,"medium","0.502882569","270.7004344",8,"high","low","2","medium","6"
"67",23,"ab",5.5,"medium","0.110714784","1260.801703",7.5,"high","high","6","low","2"
"68",23,"ac",1.5,"low","0.11249714","786.8796688",6,"medium","medium","5","low","2"
"69",23,"bc",5.5,"medium","0.128900574","461.3443156",9,"high","medium","3","low","2"
"70",24,"ab",7,"high","0.216665922","1033.541527",6.5,"high","medium","5","medium","3"
"71",24,"ac",1,"low","0.183455168","1387.816645",6,"medium","high","6","low","3"
"72",24,"bc",7.5,"high","0.055715821","309.3057781",8,"high","low","2","low","1"
"73",25,"ab",5.5,"medium","0.367813146","839.3310078",4,"medium","medium","5","medium","5"
"74",25,"ac",9,"high","0.337260993","1269.215498",9,"high","high","6","medium","4"
