participant,age:1,sex:1,year_of_education:1,participated_before:1,plate1:1,plate3:1,plate5:1,plate9:1,plate12:1,plate15:1,endcode,TIME_start,TIME_end,TIME_total
s.e1a7696b-7785-4b72-a9a5-cfb2a3edcb32.txt,22,2,15,2,12,29,3,45,16,x,nga7QZux,2021-02-21-12-09,2021-02-21-12-11,2
s.2e53097a-89c9-468e-a52e-6442ec99c929.txt,55,2,55,2,12,29,3,45,16,x,V3tEzwUD,2020-07-08-17-20,2020-07-08-17-21,1
s.8cfb8041-283e-4baf-bc39-968e7fd8d7a9.txt,27,1,18,2,12,29,3,45,16,x,cVsCFmTT,2020-10-18-12-56,2020-10-18-12-57,1
s.64b3b55e-fbf0-4ff5-8361-4a36c8c2cc4a.txt,23,2,15,2,12,29,3,45,16,x,NyNDEFpJ,2021-02-21-16-54,2021-02-21-16-55,1
s.9198c564-e229-4436-952a-d3da91d3e0ae.txt,99,1,88,1,12,29,3,45,16,x,pccHhpGE,2020-07-08-16-12,2020-07-08-16-14,2
s.78874603-b861-4ad5-8929-922fcb301c07.txt,41,1,21,1,12,29,3,45,16,x,Ew4X2KpB,2020-09-28-20-42,2020-09-28-20-43,1
s.cdef913e-43b0-4398-9434-a6300e40a670.txt,2222,1,111111,1,1,11,11,111,111,111,ftw87n8v,2020-07-08-15-35,2020-07-08-15-41,6
s.30c0a1fc-ecb6-40ed-a647-cdd50027df58.txt,111,1,111,1,11,11,11,11,11,11,Y7ueq73D,2020-07-09-12-26,2020-07-09-12-26,0
s.c7fdfdea-9f69-4d12-9eef-5bc78dad921c.txt,20,2,13,2,12,29,3,45,16,,v67cbmPw,2021-02-18-20-15,2021-02-18-20-17,2
s.412ddbeb-a518-4ab5-8e31-e023e7d0b23e.txt,21,2,15,2,12,29,3,45,16,x,m4e6sQTz,2021-02-21-13-53,2021-02-21-13-54,1
s.a84287b5-07c9-4c2e-9572-4ac691f49ee2.txt,23,1,16,2,12,29,8,,x,x,6M9zLYMB,2020-07-09-17-38,2020-07-09-17-40,2
s.8d4fb2c4-627e-4fd8-ad2f-53c080674868.txt,33,1,33,1,12,28,3,45,16,x,Ckv7Yx5N,2020-07-08-16-17,2020-07-08-16-17,0
s.224a4c9c-204b-4c05-80ca-67bba6f9460e.txt,23,2,,,,,,,,,,2020-07-09-10-30,,
s.b707edce-c53f-49b5-a8bb-22f0563413fd.txt,23,2,17,2,12,29,3,45,18,x,8BuTWk5t,2021-02-21-11-46,2021-02-21-11-47,1
s.27149a87-b1e5-49bb-8d8f-be9a4f6a43ce.txt,23,2,16,1,12,29,8,x,16,x,yD5AOOHq,2020-10-19-21-56,2020-10-19-21-58,2
s.2b059520-d7d1-404f-ab9c-b618afc175d7.txt,23,2,15,2,12,29,3,45,16,x,JJVbaU9K,2021-02-21-19-06,2021-02-21-19-07,1
s.110466f4-fdd7-4d5b-b99b-a36fb73791af.txt,xx,2,xx,2,x,x,x,x,x,x,SaQvq6xJ,2021-02-17-12-19,2021-02-17-12-20,1
s.4a06a7ac-3c93-4b62-bde6-6287e05ae17d.txt,21,1,14,2,12,29,,45,16,x,LMk5cbhU,2020-09-25-19-37,2020-09-25-19-41,4
s.48f60764-e4d9-46cf-9310-3942d651d1f1.txt,11,2,11,2,12,29,3,45,16,x,RDedLBvT,2020-09-22-18-31,2020-09-22-18-32,1
s.b5f80a83-486c-4bf2-8a52-3060a143635e.txt,19,2,13,2,12,29,3,45,16,x,MV356saZ,2021-02-20-10-23,2021-02-20-10-24,1
s.09fd4611-b239-4852-b205-444eeb6017ac.txt,41,1,21,1,12,29,3,45,16,x,RCbVmy85,2020-07-09-20-49,2020-07-09-20-50,1
s.4c195447-d862-42fc-82fc-e5d529ed404e.txt,22,1,22,1,12,29,3,45,16,x,Cu3Uw2Tu,2020-07-08-16-06,2020-07-08-16-07,1
s.e5fa426d-435d-497f-a644-c80b037a1ed7.txt,20,2,14,2,12,29,3,45,16,x,jUXDHrfV,2020-07-10-11-45,2020-07-10-11-46,1
s.ca85da69-ca5e-4f62-8000-cf0a33b01c3a.txt,23,1,,,,,,,,,,2020-07-09-17-36,,
s.cdeabf32-fb73-43f1-9a04-7b990dfe1686.txt,77,1,7,1,12,,1,11,11,x,CuTvAbQF,2020-07-08-15-43,2020-07-08-15-51,8
s.2b411a17-d630-4846-9118-c79345e6383c.txt,20,1,21,1,12,29,3,45,16,X,5LOUmL2X,2020-07-08-20-24,2020-07-08-20-25,1
s.8ccbf136-fca2-46d5-8468-b827ddf9c9a2.txt,1111,1,34,1,12,29,3,45,16,x,9PpNCenb,2020-07-08-16-18,2020-07-08-16-24,6
s.5ea0c645-e266-4e16-962c-84bc37c9ab57.txt,77,2,77,2,77,77,7,7,77,77,,2020-07-08-14-50,2020-07-08-15-26,36
s.9ac9450d-6684-4146-bda3-7d5c6a71cb0f.txt,99,2,99,2,12,29,3,45,16,x,SXKNLbQR,2020-09-22-18-23,2020-09-22-18-24,1
s.70fbd8be-c322-414b-af98-2a1df7bd4e7b.txt,23,2,17,2,12,29,3,45,16,x,PcpHjN4F,2020-09-23-12-17,2020-09-23-12-19,2
s.9cec1ae2-81ae-4687-9538-458c00745dff.txt,22,2,15,2,12,29,3,45,16,x,swy2bxfd,2020-09-27-14-35,2020-09-27-14-37,2
s.b53a053d-b719-4555-9620-404dee9f10f7.txt,26,2,20,1,12,29,8,45,16,,gaecVqW7,2020-10-19-12-45,2020-10-19-12-52,7
s.7ab6be04-f2ea-41dc-8f92-34cce6cfb1ec.txt,24,1,17,1,12,29,3,45,16,x,krwSMP9L,2020-09-28-11-02,2020-09-28-11-04,2
s.e32df25f-8bb7-4712-afe4-00bfd9d9a339.txt,20,2,15,1,12,29,3,45,16,x,,2020-09-28-17-52,,
s.7f465b31-3b07-46c4-bcc0-a52a623cadf3.txt,41,1,21,1,12,29,3,45,16,x,WZdrYp2f,2020-07-09-20-46,2020-07-09-20-47,1
s.2ac7467b-e8ae-41f5-8f41-289dfcf6bed3.txt,24,2,16,2,12,29,3,45,16,x,7nGB4Yps,2021-02-18-00-22,2021-02-18-00-23,1
s.0bc32192-2b16-43f0-af4f-9077a57fcf6d.txt,20,2,15,1,12,29,3,45,16,x,Q8smQ6qN,2020-09-28-17-54,2020-09-28-17-57,3
s.4ef84226-01e4-43c7-9f2b-5189e1c4a486.txt,,,,,,,,,,,,2021-02-21-11-51,,
