EncodingTable,RecognitionTable,experiment_information_key.keys,experiment_information_key.rt,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,info_repeat_key.keys,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_1.ran,QuestionNr,QuestionGroup,Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Azonosító kód*,Jelszó*,A vizsgálat feltételeibe beleegyezem. (igen/nem)*,Az adatkezelési feltételeket elfogadom. (igen/nem)*,date,expName,psychopyVersion,OS,frameRate,lab_key.keys,lab_key.rt,general_instructions_key.keys,general_instructions_key.rt,loc_instructions_1_key.keys,loc_instructions_1_key.rt,loc_instructions_2_key.keys,loc_instructions_2_key.rt,loc_instructions_2_key_2.keys,loc_instructions_2_key_2.rt,loc_instructions_recognition_3_key.keys,loc_instructions_recognition_3_key.rt,faq_key.keys,faq_key.rt,loc_instructions_practice_key.keys,loc_instructions_practice_key.rt,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,comprehension_questions_2.ran,enc_fx_key.keys,enc_trial_key.keys,enc_trial_key.rt,loc_enc_practice.thisRepN,loc_enc_practice.thisTrialN,loc_enc_practice.thisN,loc_enc_practice.thisIndex,loc_enc_practice.ran,TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,filler_task_resp.keys,filler_task_resp.corr,filler_task_resp.rt,rec_fx_key.keys,rec_trial_key.keys,rec_trial_key.rt,loc_rec_practice.thisRepN,loc_rec_practice.thisTrialN,loc_rec_practice.thisN,loc_rec_practice.thisIndex,loc_rec_practice.ran,LOC_PRACTICE.thisRepN,LOC_PRACTICE.thisTrialN,LOC_PRACTICE.thisN,LOC_PRACTICE.thisIndex,LOC_PRACTICE.ran,end_practice_key.keys,end_practice_key.rt,obj_instructions_1_key.keys,obj_instructions_1_key.rt,obj_instructions_2_key.keys,obj_instructions_2_key.rt,obj_instructions_recognition_3_key.keys,obj_instructions_recognition_3_key.rt,faq_key_2.keys,faq_key_2.rt,comprehension_questions_3.thisRepN,comprehension_questions_3.thisTrialN,comprehension_questions_3.thisN,comprehension_questions_3.thisIndex,comprehension_questions_3.ran,obj_instructions_practice_key.keys,obj_instructions_practice_key.rt,obj_enc_practice.thisRepN,obj_enc_practice.thisTrialN,obj_enc_practice.thisN,obj_enc_practice.thisIndex,obj_enc_practice.ran,obj_rec_practice.thisRepN,obj_rec_practice.thisTrialN,obj_rec_practice.thisN,obj_rec_practice.thisIndex,obj_rec_practice.ran,OBJ_PRACTICE.thisRepN,OBJ_PRACTICE.thisTrialN,OBJ_PRACTICE.thisN,OBJ_PRACTICE.thisIndex,OBJ_PRACTICE.ran,demo_key.keys,demo_key.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,Task,DemoX,DemoY,InPractice,DemoText,demo_end_key.keys,demo_end_key.rt,enc_full_practice.thisRepN,enc_full_practice.thisTrialN,enc_full_practice.thisN,enc_full_practice.thisIndex,enc_full_practice.ran,rec_full_practice.thisRepN,rec_full_practice.thisTrialN,rec_full_practice.thisN,rec_full_practice.thisIndex,rec_full_practice.ran,full_practce.thisRepN,full_practce.thisTrialN,full_practce.thisN,full_practce.thisIndex,full_practce.ran,start_task_key.keys,start_task_key.rt,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,enc_trials.ran,rec_trials.thisRepN,rec_trials.thisTrialN,rec_trials.thisN,rec_trials.thisIndex,rec_trials.ran,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,comprehension_questions_4.thisRepN,comprehension_questions_4.thisTrialN,comprehension_questions_4.thisN,comprehension_questions_4.thisIndex,comprehension_questions_4.ran,enc_run_end_key.keys,enc_run_end_key.rt,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,run.ran,inter_task_break_key.keys,inter_task_break_key.rt,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,enc_fx_key.rt,comprehension_questions_5.thisRepN,comprehension_questions_5.thisTrialN,comprehension_questions_5.thisN,comprehension_questions_5.thisIndex,comprehension_questions_5.ran,end_experiment_key.keys,end_experiment_key.rt
stimuli_tables/encoding_trials_1.csv,stimuli_tables/recognition_trials_1.csv,right,18.98203,f,1,6.971775,,0,0,0,0,1,0,1,Mennyi időt vesz igénybe a vizsgálat? Válaszát jelölje a megadott billentyűk egyikével. ,D:20-30 perc    F: 50-60 perc    J: 70-80 perc,f,Jól válaszolt! A helyes válasz: 50-60 perc,A helyes válasz: 50-60 perc,"Kérjük, figyelmesen olvassa végig az alábbi instrukciókat!

A vizsgálathoz használjon asztali számítógépet vagy laptopot. A vizsgálat nem végezhető el mobil eszközön, például okostelefonon vagy táblagépen. A feladatok elvégzéséhez szüksége lesz működő billentyűzetre és stabil internet kapcsolatra. Az optimális eredmény elérése érdekében Google Chrome, Firefox vagy Safari böngésző használata javasolt. Kérjük, használja a teljes képernyő módot.
A kísérlet teljes körű, zavartalan figyelmet igényel. A vizsgálat két feladatból áll, és elvégzése 50-60 percet vesz igénybe. Bizonyosodjon meg róla, hogy elég időt tud szánni a vizsgálatra. Ügyeljen arra, hogy telefont, vagy más eszközöket közben ne használjon, és kerülje a másokkal való interakciót.

A vizsgálat két feladatból áll, melyek során absztrakt képeket kell kiválogatnia a megadott szempontok szerint. A feladatok alatt és a feladatok között is lesz lehetősége rövid pihenőt tartani. ",nga7QZux,tudomány,igen,igen,2021-02-21_12h42.51.926,terkepesz_online,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,j,1,10.94333,,0,1,1,1,1,1,1,"Megbizonyosodott róla, hogy biztosítottak a vizsgálat elvégzéséhez szükséges feltételek? Válaszát jelölje a megadott billentyűk egyikével. ","F: Nem, nincs lehetőségem nyugodt körülmények között elvégezni a feladatot.                                                                                                                                                                        J: Igen, körülményeim nyugodtak, az internet kapcsolat stabil, a feladatokra tudok szánni 60 percet.",j,Köszönjük!,"Bizonyosodjon meg róla, hogy elég időt tud a vizsgálatra szánni. ","Kérjük, figyelmesen olvassa végig az alábbi instrukciókat!

A vizsgálathoz használjon asztali számítógépet vagy laptopot. A vizsgálat nem végezhető el mobil eszközön, például okostelefonon vagy táblagépen. A feladatok elvégzéséhez szüksége lesz működő billentyűzetre és stabil internet kapcsolatra. Az optimális eredmény elérése érdekében Google Chrome, Firefox vagy Safari böngésző használata javasolt. Kérjük, használja a teljes képernyő módot.
A kísérlet teljes körű, zavartalan figyelmet igényel. A vizsgálat két feladatból áll, és elvégzése 50-60 percet vesz igénybe. Bizonyosodjon meg róla, hogy elég időt tud szánni a vizsgálatra. Ügyeljen arra, hogy telefont, vagy más eszközöket közben ne használjon, és kerülje a másokkal való interakciót.

A vizsgálat két feladatból áll, melyek során absztrakt képeket kell kiválogatnia a megadott szempontok szerint. A feladatok alatt és a feladatok között is lesz lehetősége rövid pihenőt tartani. ",nga7QZux,tudomány,igen,igen,2021-02-21_12h42.51.926,terkepesz_online,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,10.576125,,,,,,,2,2,"Mely billentyű jelzi azokat a képeket, amelyek nem maradhatnak a bemutatott helyen a Galériaberendezés feladatban?",C billentyű    F billentyű   J billentyű    M billentyű,c,Jól válaszolt! A helyes válasz: C billentyű,A helyes válasz: C billentyű,"Az 'M' billentyűvel jelölje azokat a képeket, amelyek maradhatnak a bemutatott helyen.

A 'C' billentyűvel jelölje a képeket, amelyek nem maradnak a bemutatott helyen. ",nga7QZux,tudomány,igen,igen,2021-02-21_12h42.51.926,terkepesz_online,2020.2.9,Win32,60,right,21.323065,right,101.352725,right,58.284425,right,12.777755,right,25.86845,right,43.21604,right,27.540345,right,15.283515,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,j,1,10.939335,,,,,,,3,2,Hány másodperce lesz a döntésre egy-egy képről a Képfelismerés feladatban?,D: 2mp    F: 3mp    J: 4mp   K: 5mp,j,Jól válaszolt! A helyes válasz 4 mp. ,A helyes válasz 4 mp. ,"A döntésre 4 másodperce lesz.
Minden képet nézzen meg figyelmesen, és minden képre adjon választ, akkor is, ha a döntés nehéz.

A döntését így jelölje:
Régi - F
Új – J",nga7QZux,tudomány,igen,igen,2021-02-21_12h42.51.926,terkepesz_online,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,nga7QZux,tudomány,igen,igen,2021-02-21_12h42.51.926,terkepesz_online,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,m,1.837555,0,0,0,2,1,6,3000,1,2,LOC,FOIL,1,1,stimuli/fractals/175a.jpg,0.234375,-0.416666667,stimuli/fractals/175a.jpg,stimuli/fractals/175b.jpg,stimuli/fractals/175c.jpg,0.234375,-0.416666667,-0.078125,-0.416666667,0.234375,-0.138888889,-0.234375,0.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,nga7QZux,tudomány,igen,igen,2021-02-21_12h42.51.926,terkepesz_online,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,c,2.313065,0,1,1,0,1,4,1000,1,2,LOC,LURE,1,1,stimuli/fractals/173a.jpg,0.078125,0.416666667,stimuli/fractals/173a.jpg,stimuli/fractals/173b.jpg,stimuli/fractals/173c.jpg,0.078125,0.416666667,0.078125,0.138888889,-0.078125,0.416666667,-0.390625,-0.138888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,nga7QZux,tudomány,igen,igen,2021-02-21_12h42.51.926,terkepesz_online,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,c,1.096755,0,2,2,1,1,5,900,1,2,LOC,TARGET,1,1,stimuli/fractals/174a.jpg,0.234375,0.416666667,stimuli/fractals/174a.jpg,stimuli/fractals/174b.jpg,stimuli/fractals/174c.jpg,0.234375,0.416666667,0.078125,0.416666667,0.234375,0.138888889,-0.390625,-0.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,nga7QZux,tudomány,igen,igen,2021-02-21_12h42.51.926,terkepesz_online,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3000,1,2,LOC,FOIL,1,1,stimuli/fractals/175a.jpg,-0.234375,0.416666667,stimuli/fractals/175a.jpg,stimuli/fractals/175b.jpg,stimuli/fractals/175c.jpg,0.234375,-0.416666667,-0.078125,-0.416666667,0.234375,-0.138888889,-0.234375,0.416666667,k,1,9.01077,,m,2.71196,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,nga7QZux,tudomány,igen,igen,2021-02-21_12h42.51.926,terkepesz_online,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1000,1,2,LOC,LURE,1,1,stimuli/fractals/173a.jpg,-0.078125,0.416666667,stimuli/fractals/173a.jpg,stimuli/fractals/173b.jpg,stimuli/fractals/173c.jpg,0.078125,0.416666667,0.078125,0.138888889,-0.078125,0.416666667,-0.390625,-0.138888889,,,,,c,1.68941,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,nga7QZux,tudomány,igen,igen,2021-02-21_12h42.51.926,terkepesz_online,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,900,1,2,LOC,TARGET,1,1,stimuli/fractals/174a.jpg,0.234375,0.416666667,stimuli/fractals/174a.jpg,stimuli/fractals/174b.jpg,stimuli/fractals/174c.jpg,0.234375,0.416666667,0.078125,0.416666667,0.234375,0.138888889,-0.390625,-0.416666667,,,,,c,1.52928,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
