"","image","abc","average_human_rating","RGB","MSE"
"1",1,"ab","medium","low","high"
"2",1,"ac","medium","low","medium"
"3",1,"bc","medium","low","low"
"4",2,"ab","low","high","medium"
"5",2,"ac","medium","high","high"
"6",2,"bc","medium","medium","high"
"7",3,"ab","high","high","high"
"8",3,"ac","high","high","medium"
"9",3,"bc","high","medium","medium"
"10",4,"ab","high","high","high"
"11",4,"ac","high","high","high"
"12",4,"bc","high","high","high"
"13",5,"ab","low","low","low"
"14",5,"ac","medium","low","low"
"15",5,"bc","low","low","low"
"16",6,"ab","medium","high","medium"
"17",6,"ac","medium","high","medium"
"18",6,"bc","high","high","medium"
"19",7,"ab","low","low","low"
"20",7,"ac","low","low","low"
"21",7,"bc","medium","low","low"
"22",8,"ab","medium","low","low"
"23",8,"ac","medium","low","low"
"24",8,"bc","low","low","low"
"25",9,"ab","medium","low","medium"
"26",9,"ac","medium","medium","medium"
"27",9,"bc","medium","low","low"
"28",10,"ab","medium","medium","low"
"29",10,"ac","medium","medium","low"
"30",10,"bc","medium","medium","low"
"31",11,"ab","high","medium","high"
"32",11,"ac","low","medium","high"
"33",11,"bc","high","low","medium"
"34",12,"ab","high","high","low"
"35",12,"ac","high","high","low"
"36",12,"bc","high","medium","low"
"37",13,"ab","medium","low","medium"
"38",13,"ac","low","low","low"
"39",13,"bc","medium","low","low"
"40",14,"ab","high","high","low"
"41",14,"ac","high","medium","low"
"42",14,"bc","high","low","medium"
"43",15,"ab","medium","low","high"
"44",15,"ac","medium","low","medium"
"45",15,"bc","medium","low","medium"
"46",16,"ab","medium","low","low"
"47",16,"ac","medium","low","low"
"48",16,"bc","high","low","low"
"49",17,"ab","medium","medium","high"
"50",17,"ac","high","low","high"
"51",17,"bc","medium","medium","high"
"52",18,"ab","medium","low","medium"
"53",18,"ac","high","low","high"
"54",18,"bc","medium","low","high"
"55",19,"ab","low","low","low"
"56",19,"ac","low","low","low"
"57",19,"bc","low","low","low"
"58",20,"ab","low","low","medium"
"59",20,"ac","high","medium","medium"
"60",20,"bc","medium","low","medium"
"61",21,"ab","medium","medium","medium"
"62",21,"ac","medium","medium","medium"
"63",21,"bc","high","low","medium"
"64",22,"ab","high","low","low"
"65",22,"ac","high","low","low"
"66",22,"bc","high","medium","low"
"67",23,"ab","high","low","high"
"68",23,"ac","medium","low","medium"
"69",23,"bc","high","low","medium"
"70",24,"ab","high","medium","medium"
"71",24,"ac","medium","low","high"
"72",24,"bc","high","low","low"
"73",25,"ab","medium","medium","medium"
"74",25,"ac","high","medium","high"
"75",25,"bc","high","medium","high"
"76",26,"ab","low","low","low"
"77",26,"ac","low","medium","low"
"78",26,"bc","medium","medium","low"
"79",27,"ab","high","medium","high"
"80",27,"ac","medium","medium","medium"
"81",27,"bc","high","medium","medium"
"82",28,"ab","low","medium","medium"
"83",28,"ac","low","medium","low"
"84",28,"bc","medium","medium","low"
"85",29,"ab","high","medium","high"
"86",29,"ac","low","high","high"
"87",29,"bc","high","low","high"
"88",30,"ab","medium","high","high"
"89",30,"ac","medium","high","high"
"90",30,"bc","high","high","medium"
"91",31,"ab","low","high","high"
"92",31,"ac","medium","high","high"
"93",31,"bc","medium","high","high"
"94",32,"ab","medium","medium","high"
"95",32,"ac","high","medium","high"
"96",32,"bc","high","medium","high"
"97",33,"ab","high","high","high"
"98",33,"ac","high","high","medium"
"99",33,"bc","high","high","high"
"100",34,"ab","medium","low","low"
"101",34,"ac","medium","low","low"
"102",34,"bc","medium","low","low"
"103",35,"ab","high","medium","medium"
"104",35,"ac","medium","low","high"
"105",35,"bc","high","low","high"
"106",36,"ab","high","high","low"
"107",36,"ac","medium","high","low"
"108",36,"bc","high","low","low"
"109",37,"ab","high","medium","high"
"110",37,"ac","high","low","medium"
"111",37,"bc","medium","medium","high"
"112",38,"ab","medium","low","medium"
"113",38,"ac","low","low","medium"
"114",38,"bc","high","low","medium"
"115",39,"ab","high","high","low"
"116",39,"ac","high","high","high"
"117",39,"bc","high","medium","high"
"118",40,"ab","high","high","medium"
"119",40,"ac","high","high","high"
"120",40,"bc","high","medium","high"
"121",41,"ab","low","low","low"
"122",41,"ac","low","low","medium"
"123",41,"bc","low","low","high"
"124",42,"ab","low","medium","low"
"125",42,"ac","low","medium","low"
"126",42,"bc","low","medium","low"
"127",43,"ab","medium","medium","medium"
"128",43,"ac","high","medium","low"
"129",43,"bc","high","high","medium"
"130",44,"ab","low","high","high"
"131",44,"ac","high","high","high"
"132",44,"bc","medium","high","high"
"133",45,"ab","medium","medium","medium"
"134",45,"ac","medium","medium","medium"
"135",45,"bc","high","medium","medium"
"136",46,"ab","medium","high","high"
"137",46,"ac","high","high","medium"
"138",46,"bc","high","high","high"
"139",47,"ab","high","high","medium"
"140",47,"ac","high","high","low"
"141",47,"bc","high","medium","low"
