"","image","ya1.1","ya1.2","ya2.1","ya2.2","ya3.1","ya3.2","oa1.1","oa1.2","oa2.1","oa2.2","oa3.1","oa3.2"
"1",1,3,5,0,4,4,7,5,5,3,8,5,9
"2",2,4,2,3,3,4,6,4,2,5,8,5,8
"3",3,9,7,3,8,7,6,8,7,7,8,8,8
"4",4,9,7,7,9,8,7,9,7,4,9,8,9
"5",5,0,1,2,3,9,3,3,1,6,7,6,9
"6",6,9,2,2,1,2,6,7,2,3,9,3,7
"7",7,0,2,0,4,2,2,2,2,2,3,-1,8
"8",8,6,5,3,6,2,0,2,5,2,9,6,4
"9",9,7,4,3,5,7,4,4,4,4,9,8,9
"10",10,6,3,1,4,2,6,4,3,1,9,6,9
"11",11,9,7,2,5,6,3,5,7,1,3,5,9
"12",12,9,7,5,7,9,8,7,7,7,9,8,9
"13",13,6,2,1,0,5,7,5,2,1,7,7,7
"14",14,9,8,9,3,8,9,8,8,8,9,9,9
"15",15,4,4,3,3,6,8,3,4,8,8,6,9
"16",16,6,3,1,5,5,7,5,3,6,9,5,9
"17",17,7,4,9,8,5,5,6,4,8,9,7,7
"18",18,4,6,6,9,6,7,4,6,6,9,8,9
"19",19,0,1,1,1,3,4,3,1,1,4,7,8
"20",20,3,3,6,8,6,5,3,3,9,9,8,9
"21",21,6,2,3,5,8,5,8,2,3,7,6,9
"22",22,9,7,3,9,5,2,7,7,7,9,3,9
"23",23,5,6,1,2,9,6,9,6,5,7,8,9
"24",24,9,5,0,2,7,6,8,5,5,7,6,8
"25",25,8,3,9,9,9,8,5,3,9,9,-1,9
"26",26,3,1,0,2,1,6,1,1,3,6,2,9
"27",27,9,7,4,4,9,4,9,7,3,9,8,9
"28",28,7,2,1,0,2,2,3,2,1,8,4,8
"29",29,7,7,1,1,9,7,7,7,1,1,6,9
"30",30,4,6,3,2,9,8,8,6,9,9,8,9
"31",31,4,3,2,3,4,7,2,3,2,9,5,9
"32",32,6,6,7,4,5,7,7,6,5,9,6,9
"33",33,9,7,2,5,4,5,8,7,9,9,8,9
"34",34,8,5,3,6,4,0,6,5,6,8,4,8
"35",35,7,6,4,4,7,7,8,6,4,8,7,9
"36",36,9,8,5,6,9,8,9,8,4,8,9,9
"37",37,9,9,6,9,9,2,9,9,9,9,9,0
"38",38,8,4,1,2,9,5,5,4,2,4,7,8
"39",39,9,8,4,8,9,8,9,8,5,9,9,9
"40",40,9,6,4,9,8,7,9,6,8,9,9,9
"41",41,2,1,1,2,7,4,1,1,1,3,4,7
"42",42,3,3,2,0,1,0,2,3,5,6,4,1
"43",43,8,5,3,5,5,7,7,5,8,9,7,9
"44",44,4,1,6,9,9,8,3,1,8,9,5,9
"45",45,7,3,2,8,7,8,6,3,4,9,6,9
"46",46,9,4,9,9,4,6,3,4,9,9,7,9
"47",47,9,7,4,7,9,8,8,7,8,7,8,9
"48",48,9,9,8,9,9,9,9,9,9,9,9,9
"49",49,4,4,3,3,8,5,3,4,5,8,7,9
"50",50,9,5,9,7,6,7,8,5,9,9,7,9
"51",51,7,6,4,9,8,6,6,6,8,9,7,9
"52",52,9,8,9,9,9,3,7,8,9,9,8,9
"53",53,8,2,3,4,1,2,5,2,8,9,2,1
"54",54,9,8,4,8,9,8,9,8,8,8,9,9
"55",55,4,1,5,8,5,6,4,1,5,9,6,9
"56",56,9,4,2,5,3,3,5,4,7,8,3,8
"57",57,4,7,2,4,2,3,5,7,2,7,7,2
"58",58,5,6,2,1,3,5,3,6,0,8,8,9
"59",59,6,3,6,2,5,5,4,3,3,8,5,7
"60",60,7,8,5,4,8,7,4,8,5,8,7,7
"61",61,9,7,8,6,3,4,7,7,6,9,1,3
"62",62,8,5,5,9,9,8,5,5,8,7,9,9
"63",63,4,1,3,1,7,3,5,1,4,9,5,8
"64",64,9,9,6,6,9,5,9,9,6,8,9,9
"65",65,2,2,3,4,1,4,2,2,6,1,9,9
"66",66,6,5,6,8,2,2,7,5,8,9,3,2
"67",67,9,5,7,9,3,6,8,5,7,9,7,9
"68",68,9,2,5,0,8,6,4,2,2,8,9,9
"69",69,7,2,0,0,6,0,3,2,6,1,7,8
"70",70,9,7,9,3,6,7,6,7,7,9,7,9
"71",71,3,3,2,2,2,0,3,3,4,4,2,4
"72",72,9,8,3,6,8,7,9,8,4,9,9,9
"73",73,2,3,5,9,9,8,4,3,7,9,9,9
"74",74,3,4,4,7,0,5,2,4,6,9,3,2
"75",75,9,6,5,3,7,7,9,6,8,8,9,9
"76",76,6,3,5,4,3,0,3,3,3,9,4,3
"77",77,6,7,4,1,1,0,8,7,7,9,7,3
"78",78,6,4,3,0,4,3,6,4,1,8,5,9
"79",79,9,4,5,9,5,4,7,4,8,9,6,9
"80",80,3,6,9,3,5,6,8,6,6,9,6,9
"81",81,4,3,1,5,0,2,2,3,5,8,3,7
"82",82,2,2,8,9,9,6,3,2,8,9,9,9
"83",83,7,5,2,1,6,6,8,5,8,9,9,9
"84",84,8,9,3,7,9,7,7,9,5,9,9,9
"85",85,5,6,5,3,7,5,6,6,4,9,6,8
"86",86,6,5,0,1,7,5,7,5,2,2,6,7
"87",87,0,1,1,0,0,0,4,1,7,3,0,2
"88",88,9,3,5,6,3,3,7,3,4,9,6,6
"89",89,9,7,3,6,8,3,8,7,7,9,9,9
"90",90,5,4,7,9,7,5,7,4,3,7,9,9
"91",91,-1,4,1,7,4,4,3,4,2,7,4,2
"92",92,7,6,7,2,8,5,8,6,8,9,9,9
"93",93,9,8,3,4,9,8,7,8,6,9,9,9
"94",94,9,5,9,9,9,7,8,5,6,9,9,9
